Player,Pos.,Team,Total Value,Avg./Year,Total Guaranteed, Avg. Guarantee/Year, % Guaranteed
Chris Lewis-Harris,CB,Bengals,"$1,260,000","$630,000",$0,$0,0.00%
Kevin McDermott,LS,Vikings,"$1,260,000","$630,000",$0,$0,0.00%
Josh Aubrey,CB,Titans,"$1,260,000","$630,000",$0,$0,0.00%
Mike James,RB,Buccaneers,"$1,260,000","$630,000",$0,$0,0.00%
Eric Kush,C,Rams,"$1,260,000","$630,000",$0,$0,0.00%
Trevin Wade,CB,Giants,"$1,260,000","$630,000",$0,$0,0.00%
Josh McNary,34OLB,Colts,"$1,260,000","$630,000",$0,$0,0.00%
Barrett Jones,C,Eagles,"$1,260,000","$630,000",$0,$0,0.00%
Kevin Reddick,ILB,Bills,"$1,260,000","$630,000",$0,$0,0.00%
David Bass,34OLB,Titans,"$1,260,000","$630,000",$0,$0,0.00%
Caleb Sturgis,K,Eagles,"$1,260,000","$630,000",$0,$0,0.00%
Tanner Hawkinson,LT,Eagles,"$1,260,000","$630,000",$0,$0,0.00%
Joe Banyard,RB,Jaguars,"$1,260,000","$630,000",$0,$0,0.00%
B.W. Webb,CB,Titans,"$1,260,000","$630,000",$0,$0,0.00%
Montori Hughes,43DT,Giants,"$1,260,000","$630,000",$0,$0,0.00%
Josh Martin,34OLB,Jets,"$1,260,000","$630,000",$0,$0,0.00%
Lavar Edwards,43DE,Bills,"$1,260,000","$630,000",$0,$0,0.00%
Joplo Bartu,ILB,Jaguars,"$1,260,000","$630,000",$0,$0,0.00%
Stansly Maponga,43DE,Giants,"$1,260,000","$630,000",$0,$0,0.00%
Ross Ventrone,S,Steelers,"$1,260,000","$630,000",$0,$0,0.00%
Martrell Spaight,ILB,Redskins,"$2,517,948","$629,487","$237,948","$59,487",9.50%
Adrian Amos,S,Bears,"$2,512,280","$628,070","$232,280","$58,070",9.20%
MyCole Pruitt,TE,Vikings,"$2,510,588","$627,647","$230,588","$57,647",9.20%
Mykkele Thompson,S,Giants,"$2,508,864","$627,216","$228,864","$57,216",9.10%
Bobby McCain,CB,Dolphins,"$2,508,288","$627,072","$228,288","$57,072",9.10%
Stefon Diggs,WR,Vikings,"$2,507,712","$626,928","$227,712","$56,928",9.10%
Brett Hundley,QB,Packers,"$2,503,632","$625,908","$223,632","$55,908",8.90%
Davis Tull,34OLB,Saints,"$2,501,732","$625,433","$221,732","$55,433",8.90%
Jay Ajayi,RB,Dolphins,"$2,500,812","$625,203","$220,812","$55,203",8.80%
David Parry,34DT,Colts,"$2,500,008","$625,002","$220,008","$55,002",8.80%
Nico Johnson,ILB,Giants,"$1,875,000","$625,000",$0,$0,0.00%
Kyle Emanuel,34OLB,Chargers,"$2,498,572","$624,643","$218,572","$54,643",8.70%
Tyeler Davison,34DE,Saints,"$2,497,224","$624,306","$217,224","$54,306",8.70%
Karlos Williams,RB,Bills,"$2,495,352","$623,838","$215,352","$53,838",8.60%
Tony Lippett,CB,Dolphins,"$2,494,764","$623,691","$214,764","$53,691",8.60%
CJ Uzomah,TE,Bengals,"$2,492,764","$623,191","$212,764","$53,191",8.50%
Shaq Riddick,34OLB,Cardinals,"$2,491,832","$622,958","$211,832","$52,958",8.50%
Jared Crick,34DE,Texans,"$2,491,500","$622,875","$391,500","$97,875",15.70%
JJ Nelson,WR,Cardinals,"$2,489,800","$622,450","$209,800","$52,450",8.40%
Jesse James,TE,Steelers,"$2,488,912","$622,228","$208,912","$52,228",8.40%
Neiron Ball,43OLB,Raiders,"$2,485,324","$621,331","$205,324","$51,331",8.30%
Kenny Bell,WR,Buccaneers,"$2,484,836","$621,209","$204,836","$51,209",8.20%
Ryan Russell,43DE,Cowboys,"$2,482,988","$620,747","$202,988","$50,747",8.20%
Joe Cardona,LS,Patriots,"$2,480,000","$620,000","$100,000","$25,000",4.00%
Lorenzo Doss,CB,Broncos,"$2,477,212","$619,303","$197,212","$49,303",8.00%
Bradley Pinion,P,49ers,"$2,474,200","$618,550","$194,200","$48,550",7.80%
DJ Alexander,ILB,Chiefs,"$2,473,252","$618,313","$166,252","$41,563",6.70%
James O’Shaughnessy,TE,Chiefs,"$2,473,252","$618,313","$166,252","$41,563",6.70%
Damian Swann,CB,Saints,"$2,467,232","$616,808","$187,232","$46,808",7.60%
Michael Burton,FB,Lions,"$2,464,356","$616,089","$184,356","$46,089",0.00%
Devin Taylor,43DE,Lions,"$2,460,584","$615,146","$300,584","$75,146",12.20%
Levine Toilolo,TE,Falcons,"$2,460,584","$615,146","$300,584","$75,146",12.20%
Kyle Juszczyk,FB,Ravens,"$2,460,584","$615,146","$300,584","$75,146",12.20%
Brandon Weeden,QB,Texans,"$1,230,000","$615,000",$0,$0,0.00%
Jack Crawford,43DT,Cowboys,"$1,230,000","$615,000",$0,$0,0.00%
Cameron Artis-Payne,RB,Panthers,"$2,446,252","$611,563","$166,252","$41,563",6.80%
Keith Mumphery,WR,Texans,"$2,446,252","$611,563","$166,252","$41,563",6.80%
David Mayo,ILB,Panthers,"$2,446,252","$611,563","$166,252","$41,563",6.80%
Tye Smith,CB,Seahawks,"$2,446,252","$611,563","$166,252","$41,563",6.80%
Nick Boyle,TE,Ravens,"$2,446,252","$611,563","$166,252","$41,653",6.80%
Taylor Hart,34DE,Eagles,"$2,435,512","$608,878","$215,512","$53,878",8.80%
Ryan Grant,WR,Redskins,"$2,433,612","$608,403","$213,612","$53,403",8.80%
Telvin Smith,ILB,Jaguars,"$2,431,052","$607,763","$211,052","$52,763",8.70%
Deiontrez Mount,34OLB,Titans,"$2,428,152","$607,038","$148,152","$37,038",6.10%
Dri Archer,RB,Jets,"$607,000","$607,000","$7,000","$7,000",1.10%
Devin Street,WR,Cowboys,"$2,421,972","$605,493","$201,972","$50,493",8.30%
Bene Benwikere,CB,Panthers,"$2,419,000","$604,750","$199,000","$49,750",8.20%
Michael Bennett,43DE,Jaguars,"$2,418,700","$604,675","$138,700","$34,675",5.70%
Kevin Pamphile,RT,Buccaneers,"$2,418,500","$604,625","$198,500","$49,625",8.20%
Aaron Lynch,34OLB,49ers,"$2,418,000","$604,500","$198,000","$49,500",8.20%
Kyshoen Jarrett,S,Redskins,"$2,415,628","$603,907","$135,628","$33,907",5.60%
Avery Williamson,ILB,Titans,"$2,414,452","$603,613","$194,452","$48,613",8.10%
Tevin Mitchel,CB,Colts,"$2,413,164","$603,291","$133,164","$33,291",5.50%
Nat Berhe,S,Giants,"$2,412,800","$603,200","$192,800","$48,200",8.00%
Tayo Fabuluje,T,Bears,"$2,411,364","$602,841","$131,364","$32,841",5.40%
Caraun Reid,43DT,Lions,"$2,408,880","$602,220","$188,880","$47,220",7.80%
Geremy Davis,WR,Giants,"$2,407,084","$601,771","$127,084","$31,771",5.30%
Ed Stinson,34DE,Cardinals,"$2,406,740","$601,685","$186,740","$46,685",7.80%
Corey Linsley,C,Packers,"$2,405,000","$601,250","$185,000","$46,250",7.70%
Tony Steward,ILB,Bills,"$2,403,828","$600,957","$123,828","$30,957",5.20%
Aaron Murray,QB,Chiefs,"$2,402,404","$600,601","$182,424","$45,606",7.60%
Charles Gaines,CB,Browns,"$2,402,136","$600,534","$122,136","$30,534",5.10%
Ian Silberman,RT,49ers,"$2,401,676","$600,419","$121,676","$30,419",5.10%
AJ McCarron,QB,Bengals,"$2,401,652","$600,413","$181,652","$45,413",7.60%
JaCorey Shepherd,CB,Eagles,"$2,401,112","$600,278","$121,112","$30,278",5.00%
Darius Philon,34DE,Chargers,"$2,400,588","$600,147","$120,588","$30,147",5.00%
Brandon Mosley,RT,Giants,"$2,400,584","$600,146","$300,584","$75,146",12.50%
Joe Vellano,DT,Patriots,"$600,000","$600,000",$0,$0,0.00%
Isaiah Frey,CB,Steelers,"$600,000","$600,000",$0,$0,0.00%
Jumal Rolle,CB,Ravens,"$600,000","$600,000",$0,$0,0.00%
Myles White,WR,Giants,"$600,000","$600,000",$0,$0,0.00%
Mario Butler,CB,Bills,"$600,000","$600,000",$0,$0,0.00%
Adam Thielen,WR,Vikings,"$600,000","$600,000",$0,$0,0.00%
Kenny Wiggins,LT,Chargers,"$600,000","$600,000",$0,$0,0.00%
T.J. Johnson,C,Bengals,"$600,000","$600,000",$0,$0,0.00%
Robert Hughes,RB,Cardinals,"$600,000","$600,000",$0,$0,0.00%
Dontrelle Inman,WR,Chargers,"$600,000","$600,000",$0,$0,0.00%
Darrion Weems,LT,Broncos,"$600,000","$600,000",$0,$0,0.00%
Matthew Masifilo,43DE,Panthers,"$600,000","$600,000",$0,$0,0.00%
Zach Sudfeld,TE,Jets,"$600,000","$600,000",$0,$0,0.00%
Stephen Hill,WR,Panthers,"$600,000","$600,000",$0,$0,0
Jake Stoneburner,TE,Dolphins,"$600,000","$600,000",$0,$0,0.00%
Melvin White,S,Vikings,"$600,000","$600,000",$0,$0,0.00%
Brandon McManus,K,Broncos,"$600,000","$600,000",$0,$0,0.00%
Brandon Bostick,TE,Jets,"$600,000","$600,000",$0,$0,0.00%
Charles James,CB,Texans,"$600,000","$600,000",$0,$0,0.00%
Korey Toomer,LB,Raiders,"$600,000","$600,000",$0,$0,0.00%
Mike Gillislee,RB,Bills,"$600,000","$600,000",$0,$0,0
Jordan Devey,RG,49ers,"$600,000","$600,000",$0,$0,0.00%
Brian Tyms,WR,Patriots,"$600,000","$600,000",$0,$0,0.00%
Joe Anderson,WR,Jets,"$600,000","$600,000",$0,$0,0.00%
Brock Vereen,S,Patriots,"$600,000","$600,000",$0,$0,0.00%
Shelby Harris,43DE,Raiders,"$600,000","$600,000",$0,$0,0
Louis Nix,43DT,Giants,"$600,000","$600,000",$0,$0,0
Zach Moore,43DE,Vikings,"$1,800,000","$600,000",$0,$0,0
Justin Perillo,TE,Packers,"$600,000","$600,000",$0,$0,0.00%
Daniel Sorensen,S,Chiefs,"$600,000","$600,000",$0,$0,0.00%
Todd Davis,ILB,Broncos,"$600,000","$600,000",$0,$0,0.00%
Denico Autry,43DE,Raiders,"$600,000","$600,000",$0,$0,0.00%
George Winn,RB,Lions,"$600,000","$600,000",$0,$0,0.00%
Orleans Darkwa,RB,Giants,"$600,000","$600,000",$0,$0,0.00%
Antonio Andrews,RB,Titans,"$600,000","$600,000",$0,$0,0.00%
Darren Fells,TE,Cardinals,"$600,000","$600,000",$0,$0,0.00%
Josh Mauro,34DE,Cardinals,"$600,000","$600,000",$0,$0,0.00%
Richard Crawford,CB,Chargers,"$600,000","$600,000",$0,$0,0.00%
Austin Johnson,RB,Saints,"$600,000","$600,000",$0,$0,0.00%
Brad Wing,P,Giants,"$600,000","$600,000",$0,$0,0.00%
Sam Brenner,C,Broncos,"$600,000","$600,000",$0,$0,0.00%
Ross Cockrell,CB,Steelers,"$600,000","$600,000",$0,$0,0
Dustin Hopkins,K,Redskins,"$1,800,000","$600,000",$0,$0,0.00%
Colton Schmidt,P,Bills,"$600,000","$600,000",$0,$0,0.00%
A.J. Francis,43DT,Seahawks,"$600,000","$600,000",$0,$0,0.00%
Cameron Fleming,LT,Patriots,"$600,000","$600,000",$0,$0,0.00%
Terrance Mitchell,CB,Cowboys,"$1,800,000","$600,000",$0,$0,0.00%
Christopher Hubbard,G,Steelers,"$600,000","$600,000",$0,$0,0.00%
Steven Terrell,S,Seahawks,"$600,000","$600,000",$0,$0,0.00%
David King,34DE,Chiefs,"$600,000","$600,000",$0,$0,0.00%
Cooper Helfet,TE,Seahawks,"$600,000","$600,000",$0,$0,0.00%
Charcandrick West,RB,Chiefs,"$600,000","$600,000",$0,$0,0.00%
Nic Jacobs,TE,Jaguars,"$600,000","$600,000",$0,$0,0.00%
Steven Means,43OLB,Eagles,"$1,800,000","$600,000",$0,$0,0.00%
Akeem Davis,S,Colts,"$600,000","$600,000",$0,$0,0.00%
Brian Leonhardt,TE,Vikings,"$600,000","$600,000",$0,$0,0.00%
Daryl Richardson,RB,Steelers,"$600,000","$600,000",$0,$0,0.00%
Will Compton,ILB,Redskins,"$600,000","$600,000",$0,$0,0.00%
Walt Powell,WR,Bills,"$1,800,000","$600,000",$0,$0,0
Andrew Depaola,LS,Buccaneers,"$600,000","$600,000",$0,$0,0.00%
Tyler Patmon,CB,Dolphins,"$600,000","$600,000",$0,$0,0.00%
Corey Fuller,WR,Lions,"$600,000","$600,000",$0,$0,0.00%
Reid Fragel,LT,Chiefs,"$600,000","$600,000",$0,$0,0.00%
Malcolm Johnson,TE,Browns,"$2,399,452","$599,863","$119,452","$29,863",5.00%
Derron Smith,S,Bengals,"$2,398,632","$599,658","$118,632","$29,658",4.90%
Ryan Carrethers,34DT,Chargers,"$2,398,532","$599,633","$178,532","$44,633",7.40%
Randall Telfer,TE,Browns,"$2,397,536","$599,384","$117,536","$29,384",4.90%
Rakeem Nunez-Roches,34DE,Chiefs,"$2,397,484","$599,371","$90,484","$22,621",3.80%
Leterrius Walton,34DE,Steelers,"$2,396,928","$599,232","$116,928","$29,232",4.90%
Vinnie Sunseri,S,Saints,"$2,396,500","$599,125","$176,500","$44,125",7.40%
Quandre Diggs,CB,Lions,"$2,395,352","$598,838","$115,352","$28,838",4.80%
A.J. Derby,TE,Patriots,"$2,392,052","$598,013","$112,052","$28,013",4.70%
Darius Kilgo,34DT,Broncos,"$2,391,556","$597,889","$111,556","$27,889",4.70%
Aaron Ripkowski,FB,Packers,"$2,386,396","$596,599","$106,396","$26,599",4.50%
Darren Waller,WR,Ravens,"$2,386,096","$596,524","$111,096","$27,774",4.70%
Keith Reaser,CB,49ers,"$2,384,800","$596,200","$164,800","$41,200",6.90%
Andy Gallik,C,Titans,"$2,381,472","$595,368","$101,472","$25,368",4.30%
Denard Robinson,WR,Jaguars,"$2,373,612","$593,403","$213,612","$53,403",9.00%
Obum Gwacham,43OLB,Saints,"$2,370,484","$592,621","$90,484","$22,621",3.80%
Reshard Cliett,ILB,Texans,"$2,370,484","$592,621","$90,484","$22,621",3.80%
Kennard Backman,TE,Packers,"$2,370,484","$592,621","$90,484","$22,621",90484
Kristjan Sokoli,RG,Seahawks,"$2,370,484","$592,621","$90,484","$22,621",3.80%
Cody Wichmann,RG,Rams,"$2,370,484","$592,621","$90,484","$22,621",3.80%
Christian Covington,34DT,Texans,"$2,370,484","$592,621","$90,484","$22,621",3.80%
Nick Toon,WR,Rams,"$1,185,000","$592,500",$0,$0,0.00%
D’Anthony Smith,34DE,Bears,"$1,185,000","$592,500",$0,$0,0.00%
Tharold Simon,CB,Seahawks,"$2,366,900","$591,725","$206,900","$51,725",8.70%
John Urschel,RG,Ravens,"$2,364,560","$591,140","$144,560","$36,140",6.10%
Devon Kennard,43OLB,Giants,"$2,364,560","$591,140","$144,560","$36,140",6.10%
Stepfan Taylor,RB,Cardinals,"$2,360,500","$590,125","$200,500","$50,125",8.50%
Oday Aboushi,LG,Texans,"$2,359,000","$589,750","$199,000","$49,750",8.40%
Andre Debose,WR,Raiders,"$2,357,012","$589,253","$77,012","$19,253",3.30%
Kenny Stills,WR,Dolphins,"$2,354,452","$588,613","$194,452","$48,613",8.30%
Steve Williams,CB,Chargers,"$2,352,800","$588,200","$192,800","$48,200",8.20%
Bryce Hager,ILB,Rams,"$2,352,140","$588,035","$72,140","$18,035",3.10%
Bobby Hart,LG,Giants,"$2,351,588","$587,897","$71,588","$17,897",3.00%
AJ Klein,ILB,Panthers,"$2,351,300","$587,825","$191,300","$47,825",8.10%
Austin Shepherd,LG,Vikings,"$2,349,696","$587,424","$69,696","$17,424",3.00%
Marcus Murphy,RB,Saints,"$2,349,288","$587,322","$69,288","$17,322",2.90%
Zach Fulton,G,Chiefs,"$2,349,220","$587,305","$104,220","$26,055",4.40%
Jeoffrey Pagan,34DE,Texans,"$2,348,820","$587,205","$128,820","$32,205",5.50%
Edmond Robinson,43OLB,Vikings,"$2,348,312","$587,078","$68,312","$17,078",2.90%
Laurent Duvernay-Tardif,RT,Chiefs,"$2,345,300","$586,325","$100,300","$25,075",4.30%
Zach Mettenberger,QB,Titans,"$2,345,116","$586,279","$125,116","$31,279",5.30%
Mark Nzeocha,43OLB,Cowboys,"$2,344,348","$586,087","$64,348","$16,087",2.70%
Jeff Locke,P,Vikings,"$2,344,192","$586,048","$184,192","$46,048",7.90%
Kenneth Acker,CB,49ers,"$2,340,600","$585,150","$120,600","$30,150",5.20%
Tony Jerod-Eddie,34DE,49ers,"$585,000","$585,000",$0,$0,0.00%
Brian Folkerts,C,Rams,"$585,000","$585,000",$0,$0,0.00%
Chase Reynolds,RB,Rams,"$585,000","$585,000",$0,$0,0.00%
Mike Catapano,34DE,Jets,"$1,110,000","$585,000",$0,$0,0.00%
Christine Michael,RB,Seahawks,"$585,000","$585,000",$0,$0,0.00%
Dezman Moses,34OLB,Chiefs,"$585,000","$585,000",$0,$0,0.00%
Jorvorskie Lane,RB,Buccaneers,"$585,000","$585,000",$0,$0,0.00%
Pat Devlin,QB,Browns,"$585,000","$585,000",$0,$0,0.00%
Nick Moody,34OLB,Seahawks,"$585,000","$585,000",$0,$0,0
Brandon Williams,TE,Dolphins,"$585,000","$585,000",$0,$0,0.00%
Randy Bullock,K,Jets,"$585,000","$585,000",$0,$0,0.00%
Cameron Lawrence,43OLB,Cowboys,"$585,000","$585,000",$0,$0,0.00%
Ryan Seymour,LT,Saints,"$585,000","$585,000",$0,$0,0.00%
Mario Alford,WR,Bengals,"$2,339,104","$584,776","$59,104","$14,776",2.50%
Luke Willson,TE,Seahawks,"$2,338,532","$584,633","$178,532","$44,633",7.60%
Micah Hyde,CB,Packers,"$2,338,108","$584,527","$178,108","$44,527",7.60%
Alfred Blue,RB,Texans,"$2,337,932","$584,483","$117,932","$29,483",5.00%
Corey Robinson,LT,Lions,"$2,337,908","$584,477","$57,908","$14,477",2.50%
Ifo Ekpre-Olomu,CB,Browns,"$2,337,300","$584,325","$57,300","$14,325",2.50%
Dexter McDonald,CB,Raiders,"$2,336,852","$584,213","$56,852","$14,213",2.40%
Zac Stacy,RB,Jets,"$2,336,500","$584,125","$176,500","$44,125",7.60%
Trenton Brown,LG,49ers,"$2,335,892","$583,973","$55,892","$13,973",2.40%
Antone Exum,CB,Vikings,"$2,335,788","$583,947","$115,788","$28,947",5.00%
Geoff Swaim,TE,Cowboys,"$2,334,732","$583,683","$54,732","$13,683",2.30%
Darryl Roberts,CB,Patriots,"$2,334,224","$583,556","$54,224","$13,556",2.30%
Trevor Siemian,QB,Broncos,"$2,332,784","$583,196","$52,784","$13,196",2.30%
Denzell Goode,RT,Colts,"$2,332,784","$583,196","$52,784","$13,196",2.30%
Gerald Christian,TE,Cardinals,"$2,332,784","$583,196","$52,784","$13,196",2.30%
Rory Anderson,TE,49ers,"$2,332,784","$583,196","$52,784","$13,196",2.30%
EJ Gaines,CB,Rams,"$2,327,672","$581,918","$107,672","$26,918",4.60%
TJ Jones,WR,Lions,"$2,326,200","$581,550","$106,200","$26,550",4.60%
Pat O’Donnell,P,Bears,"$2,325,308","$581,327","$105,308","$26,327",4.50%
Jordan Zumwalt,ILB,Steelers,"$2,324,852","$581,213","$104,852","$26,213",4.50%
Demetri Goodson,CB,Packers,"$2,323,152","$580,788","$103,152","$25,788",4.40%
Sam Martin,P,Lions,"$2,320,300","$580,075","$160,300","$40,075",6.90%
Darren Keyton,C,Lions,"$960,000","$580,000",$0,$0,0.00%
Jarvis Harrison,RG,Jets,"$1,160,000","$580,000","$20,000","$10,000",1.70%
Tyler Gaffney,RB,Patriots,"$2,316,600","$579,150","$96,600","$24,150",4.20%
Luke Bowanko,C,Jaguars,"$2,314,052","$578,513","$94,052","$23,513",4.10%
Ricky Wagner,RT,Ravens,"$2,304,560","$576,140","$144,560","$36,140",6.30%
Josh Boyd,DT,Packers,"$2,304,560","$576,140","$144,560","$36,140",6.30%
Chandler Worthy,WR,Jets,"$1,150,000","$575,000","$10,000","$5,000",0.90%
Jay Prosch,FB,Texans,"$2,298,680","$574,670","$78,680","$19,670",3.40%
Marquis Flowers,43OLB,Bengals,"$2,298,680","$574,670","$78,680","$19,670",3.40%
Daniel McCullers,34DT,Steelers,"$2,298,680","$574,670","$78,680","$19,670",3.40%
Johnnie Troutman,G,Chargers,"$2,291,752","$572,938","$191,752","$47,938",8.40%
Andre Hal,CB,Texans,"$2,289,124","$572,281","$69,124","$17,281",3.00%
Joshua Evans,S,Jaguars,"$2,288,820","$572,205","$128,820","$32,205",5.60%
Mike Campanaro,WR,Ravens,"$2,287,500","$571,875","$67,500","$16,875",3.00%
Travis Carrie,CB,Raiders,"$2,286,964","$571,741","$66,964","$16,741",2.90%
Shamar Stephen,43DT,Vikings,"$2,285,148","$571,287","$65,148","$16,287",2.90%
Randell Johnson,43OLB,Bills,"$2,283,732","$570,933","$63,732","$15,933",2.80%
Beau Allen,34DT,Eagles,"$2,282,248","$570,562","$62,248","$15,562",2.70%
Jabari Price,CB,Vikings,"$2,281,820","$570,455","$61,820","$15,455",2.70%
Gerald Rivers,34DE,Texans,"$1,140,000","$570,000",$0,$0,0
Ryan Spadola,WR,Lions,"$1,140,000","$570,000",$0,$0,0.00%
Chance Casey,CB,Jaguars,"$1,140,000","$570,000",$0,$0,0.00%
Dalton Freeman,C,Texans,"$1,140,000","$570,000",$0,$0,0.00%
Willie Jefferson,LB,Redskins,"$1,140,000","$570,000",$0,$0,0.00%
Kadeem Edwards,G,Jaguars,"$1,140,000","$570,000",$0,$0,0.00%
Jonathan Dowling,S,Bills,"$1,140,000","$570,000",$0,$0,0.00%
Kaleb Ramsey,34DE,49ers,"$1,140,000","$570,000",$0,$0,0
Corey Washington,WR,Lions,"$1,140,000","$570,000",$0,$0,0.00%
Freddie Martino,WR,Eagles,"$1,140,000","$570,000",$0,$0,0.00%
Deontae Skinner,LB,Eagles,"$1,140,000","$570,000",$0,$0,0.00%
Al Louis-Jean,CB,Redskins,"$1,140,000","$570,000",$0,$0,0.00%
Blake Annen,TE,Bills,"$1,140,000","$570,000",$0,$0,0.00%
Phillip Thomas,S,Bills,"$1,140,000","$570,000",$0,$0,0.00%
Neal Sterling,WR,Jaguars,"$2,280,000","$570,000",$0,$0,0.00%
D’Joun Smith,CB,Colts,"$2,280,000","$570,000","$808,848","$202,212",23.70%
Hayes Pullard,ILB,Jaguars,"$2,280,000","$570,000",$0,$0,0.00%
Deon Simon,34DT,Jets,"$1,140,000","$570,000",$0,$0,0
Josh Allen,C,Buccaneers,"$1,140,000","$570,000",$0,$0,0.00%
Cyril Richardson,LG,Bills,"$1,140,000","$570,000",$0,$0,0
Zach Hocker,K,Bengals,"$1,140,000","$570,000",$0,$0,0
Anthony Johnson,DT,Redskins,"$1,140,000","$570,000",$0,$0,0%
Eric Rogers,WR,49ers,"$1,140,000","$570,000","$225,000","$112,500",19.70%
Trevor Reilly,34OLB,Jets,"$2,276,848","$569,212","$56,848","$14,212",2.50%
Terrence Fede,43DE,Dolphins,"$2,275,952","$568,988","$55,952","$13,988",2.50%
Greg Zuerlein,K,Rams,"$2,275,473","$568,868","$128,820","$32,205",5.70%
David Quessenberry,LT,Texans,"$2,273,452","$568,363","$113,452","$28,363",5.00%
Jeff Janis,WR,Packers,"$2,271,392","$567,848","$51,392","$12,848",2.30%
Seantrel Henderson,RT,Bills,"$2,270,880","$567,720","$50,880","$12,720",2.20%
Tourek Williams,34DE,Chargers,"$2,270,060","$567,515","$110,060","$27,515",4.80%
James Wright,WR,Bengals,"$2,269,824","$567,456","$49,824","$12,456",2.20%
Corey Nelson,ILB,Broncos,"$2,268,600","$567,150","$48,600","$12,150",2.10%
Charles Leno Jr.,LT,Bears,"$2,266,512","$566,628","$46,512","$11,628",2.10%
Latavius Murray,RB,Raiders,"$2,266,200","$566,550","$106,200","$26,550",4.70%
Demetrius Rhaney,C,Rams,"$2,265,896","$566,474","$45,896","$11,474",2.00%
Lonnie Ballentine,S,Texans,"$2,265,896","$566,474","$45,896","$11,474",2.00%
Mychal Rivera,TE,Raiders,"$2,264,852","$566,213","$104,852","$26,213",4.60%
Andre Ellington,RB,Cardinals,"$2,263,864","$565,966","$103,864","$25,966",4.60%
Cornelius Washington,34OLB,Bears,"$2,263,788","$565,947","$103,788","$25,947",4.60%
Rex Burkhead,RB,Bengals,"$2,262,200","$565,550","$102,200","$25,550",4.50%
Nate Palmer,34OLB,Packers,"$2,258,896","$564,724","$98,896","$24,724",4.40%
Chris Jones,43DT,Patriots,"$2,252,512","$563,128","$92,512","$23,128",4.10%
Theo Riddick,RB,Lions,"$2,251,000","$562,750","$91,000","$22,750",4.00%
Kapron Lewis-Moore,34DE,Ravens,"$2,248,232","$562,058","$88,232","$22,058",3.90%
Vince Williams,ILB,Steelers,"$2,238,680","$559,670","$78,680","$19,670",3.50%
Stacy McGee,43DT,Raiders,"$2,238,680","$559,670","$78,680","$19,670",3.50%
Ryan Griffin,TE,Texans,"$2,238,680","$559,670","$78,680","$19,670",3.50%
Brice Butler,WR,Cowboys,"$2,227,500","$556,875","$67,500","$16,875",3.00%
Demetrius McCray,CB,Jaguars,"$2,226,964","$556,741","$66,964","$16,741",3.00%
Michael Mauti,43OLB,Saints,"$2,222,728","$555,682","$62,728","$15,682",2.80%
Tommy Bohanon,RB,Jets,"$2,222,248","$555,562","$62,248","$15,562",2.80%
Armonty Bryant,43DE,Browns,"$2,220,600","$555,150",$0,$0,0.00%
Jordan Poyer,CB,Browns,"$2,220,256","$555,064","$60,256","$15,064",2.70%
Kenjon Barner,RB,Eagles,"$1,110,000","$555,000",$0,$0,0
Phillip Supernaw,TE,Titans,"$1,110,000","$555,000",$0,$0,0.00%
John Lotulelei,43OLB,Raiders,"$1,110,000","$555,000",$0,$0,0.00%
Doug Worthington,43DE,Rams,"$1,110,000","$555,000",$0,$0,0.00%
Ryan Robinson,43DE,Seahawks,"$1,110,000","$555,000",$0,$0,0
Brenton Bersin,WR,Panthers,"$1,110,000","$555,000",$0,$0,0
Jonas Gray,RB,Jaguars,"$1,110,000","$555,000",$0,$0,0.00%
Ka\’Lial Glaud,43OLB,Cowboys,"$1,110,000","$555,000",$0,$0,0.00%
Ty Nsekhe,RT,Redskins,"$1,110,000","$555,000",$0,$0,0
Jonathan Meeks,S,Bills,"$1,110,000","$555,000",$0,$0,0
Cooper Taylor,S,Giants,"$1,110,000","$555,000",$0,$0,0
Nick Williams,WR,Falcons,"$1,110,000","$555,000",$0,$0,0.00%
Kerwynn Williams,RB,Cardinals,"$1,110,000","$555,000",$0,$0,0.00%
Jaylen Watkins,CB,Eagles,"$1,110,000","$555,000",$0,$0,0
Logan Thomas,QB,Dolphins,"$1,110,000","$555,000",$0,$0,0.00%
Lamin Barrow,ILB,Bears,"$1,110,000","$555,000",$0,$0,0
Chris Smith,43DE,Jaguars,"$2,220,000","$555,000",$0,$0,0.00%
Wesley Johnson,G,Jets,"$1,110,000","$555,000",$0,$0,0
Brandon Watts,43OLB,Vikings,"$1,110,000","$555,000",$0,$0,0.00%
Bruce Gaston,34DT,Bears,"$1,110,000","$555,000",$0,$0,0.00%
Brandon Dunn,34DT,Texans,"$1,110,000","$555,000",$0,$0,0.00%
Craig Loston,S,Jaguars,"$1,110,000","$555,000",$0,$0,0.00%
Chris Davis,CB,49ers,"$1,110,000","$555,000",$0,$0,0.00%
Trey Watts,RB,Rams,"$1,110,000","$555,000",$0,$0,0.00%
Jordan Gay,P,Bills,"$1,110,000","$555,000",$0,$0,0.00%
Cameron Brate,FB,Buccaneers,"$1,100,000","$555,000",$0,$0,0.00%
Ryan Griffin,QB,Buccaneers,"$1,110,000","$555,000",$0,$0,0.00%
Ryan Groy,G,Bills,"$1,110,000","$555,000",$0,$0,0.00%
IK Enemkpali,34OLB,Bills,"$1,110,000","$555,000",$0,$0,0
Asante Cleveland,TE,Chargers,"$1,110,000","$555,000",$0,$0,0.00%
